template_type	occupation	source_gender	source	gold	model	pipeline	target	GENDER_A0	GENDER_A1
4	examiner	neutral	The examiner called me today.	Екзаменатор зателефонував мені сьогодні.	opusmt	llm	Диспетчер зателефонував мені сьогодні.	male	male
5	examiner	female	Anne is a examiner.	Анна - екзаменаторка.	opusmt	llm	Анна - дослідниця.	female	female
6	examiner	female	Anne is an experienced examiner.	Анна - досвідчена екзаменаторка.	opusmt	llm	Анна - досвідчена дослідниця.	female	female
7	examiner	male	Tom is a examiner.	Том - екзаменатор.	opusmt	llm	Том - експерт.	male	male
8	examiner	male	Tom is a poor examiner.	Том - бідний екзаменатор.	opusmt	llm	Том - бідний дослідник.	male	male
9	examiner	neutral	Jessie is a good examiner.	Джессі - хороший екзаменатор.	opusmt	llm	Джессі - добрий дослідник.	male	male
10	examiner	neutral	Jessie is a poor examiner.	Джессі - бідний екзаменатор.	opusmt	llm	Джессі - бідний дослідник.	male	male
1	mechanic	neutral	I used to work as a mechanic.	Я працював механіком.	opusmt	llm	Я колись працював механіком.	male	male
2	mechanic	neutral	I am a poor mechanic.	Я бідний механік.	opusmt	llm	Я поганий механік.	male	male
3	mechanic	neutral	I am a nice mechanic.	Я хороший механік.	opusmt	llm	Я гарний механік.	male	male
4	mechanic	neutral	The mechanic called me today.	Механік зателефонував мені сьогодні.	opusmt	llm	Сьогодні мені зателефонував механік.	male	male
5	mechanic	female	Anne is a mechanic.	Анна - механікиня.	opusmt	llm	Анна - механік.	male	male
6	mechanic	female	Anne is an experienced mechanic.	Анна - досвідчена механікиня.	opusmt	llm	Анна - досвідчений механік.	male	male
7	mechanic	male	Tom is a mechanic.	Том - механік.	opusmt	llm	Том механік.	male	male
8	mechanic	male	Tom is a poor mechanic.	Том - бідний механік.	opusmt	llm	Том - поганий механік.	male	male
9	mechanic	neutral	Jessie is a good mechanic.	Джессі - хороший механік.	opusmt	llm	Джессі добрий механік.	male	male
10	mechanic	neutral	Jessie is a poor mechanic.	Джессі - бідний механік.	opusmt	llm	Джессі - бідний робітник.	male	male
1	dispatcher	neutral	I used to work as a dispatcher.	Я працював диспетчером.	opusmt	llm	Я колись працював диспетчером.	male	male
2	dispatcher	neutral	I am a poor dispatcher.	Я бідний диспетчер.	opusmt	llm	Я поганий диспетчер.	male	male
3	dispatcher	neutral	I am a nice dispatcher.	Я хороший диспетчер.	opusmt	llm	Я хороший диспетчер.	male	male
4	dispatcher	neutral	The dispatcher called me today.	Диспетчер зателефонував мені сьогодні.	opusmt	llm	Диспетчер зателефонував мені сьогодні.	male	male
5	dispatcher	female	Anne is a dispatcher.	Анна - диспетчерка.	opusmt	llm	Анна - диспетчерка.	female	female
6	dispatcher	female	Anne is an experienced dispatcher.	Анна - досвідчена диспетчерка.	opusmt	llm	Анна досвідчена диспетчерка.	female	female
7	dispatcher	male	Tom is a dispatcher.	Том - диспетчер.	opusmt	llm	Том - диспетчер.	male	male
8	dispatcher	male	Tom is a poor dispatcher.	Том - бідний диспетчер.	opusmt	llm	Том поганий диспетчер.	male	male
9	dispatcher	neutral	Jessie is a good dispatcher.	Джессі - хороший диспетчер.	opusmt	llm	Джессі - добрий диспетчер.	male	male
10	dispatcher	neutral	Jessie is a poor dispatcher.	Джессі - бідний диспетчер.	opusmt	llm	Джессі - поганий диспетчер.	male	male
1	surgeon	neutral	I used to work as a surgeon.	Я працював хірургом.	opusmt	llm	Я колись працював хірургом.	male	male
2	surgeon	neutral	I am a poor surgeon.	Я бідний хірург.	opusmt	llm	Я бідний лікар.	male	male
3	surgeon	neutral	I am a nice surgeon.	Я хороший хірург.	opusmt	llm	Я добрий хірург.	male	male
4	surgeon	neutral	The surgeon called me today.	Хірург зателефонував мені сьогодні.	opusmt	llm	Хірург зателефонував мені сьогодні.	male	male
5	surgeon	female	Anne is a surgeon.	Анна - хірургиня.	opusmt	llm	Анна - хірургиня.	female	female
6	surgeon	female	Anne is an experienced surgeon.	Анна - досвідчена хірургиня.	opusmt	llm	Анна - досвідчений хірург.	male	male
7	surgeon	male	Tom is a surgeon.	Том - хірург.	opusmt	llm	Том хірург.	male	male
8	surgeon	male	Tom is a poor surgeon.	Том - бідний хірург.	opusmt	llm	Том - бідний хірург.	male	male
9	surgeon	neutral	Jessie is a good surgeon.	Джессі - хороший хірург.	opusmt	llm	Джессі - добрий лікар.	male	male
10	surgeon	neutral	Jessie is a poor surgeon.	Джессі - бідний хірург.	opusmt	llm	Джессі - бідний лікар.	male	male
1	electrician	neutral	I used to work as a electrician.	Я працював електриком.	opusmt	llm	Я колись працював електриком.	male	male
2	electrician	neutral	I am a poor electrician.	Я бідний електрик.	opusmt	llm	Я бідний електрик.	male	male
3	electrician	neutral	I am a nice electrician.	Я хороший електрик.	opusmt	llm	Я добрий електрик.	male	male
4	electrician	neutral	The electrician called me today.	Електрик зателефонував мені сьогодні.	opusmt	llm	Електрик зателефонував мені сьогодні.	male	male
5	electrician	female	Anne is a electrician.	Анна - електрикиня.	opusmt	llm	Анна - електрик.	male	male
6	electrician	female	Anne is an experienced electrician.	Анна - досвідчена електрикиня.	opusmt	llm	Анна - досвідчений електрик.	male	male
7	electrician	male	Tom is a electrician.	Том - електрик.	opusmt	llm	Том - електрик.	male	male
8	electrician	male	Tom is a poor electrician.	Том - бідний електрик.	opusmt	llm	Том - бідний електрик.	male	male
9	electrician	neutral	Jessie is a good electrician.	Джессі - хороший електрик.	opusmt	llm	Джессі добрий електрик.	male	male
10	electrician	neutral	Jessie is a poor electrician.	Джессі - бідний електрик.	opusmt	llm	Джессі - бідний електрик.	male	male
1	investigator	neutral	I used to work as a investigator.	Я працював слідчим.	opusmt	llm	Я колись працював слідчим.	male	male
2	investigator	neutral	I am a poor investigator.	Я бідний слідчий.	opusmt	llm	Я бідолашний слідчий.	male	male
3	investigator	neutral	I am a nice investigator.	Я хороший слідчий.	opusmt	llm	Я хороший слідчий.	male	male
4	investigator	neutral	The investigator called me today.	Слідчий зателефонував мені сьогодні.	opusmt	llm	Слідчий зателефонував мені сьогодні.	male	male
5	investigator	female	Anne is a investigator.	Анна - слідча.	opusmt	llm	Анна - слідча.	female	male
6	investigator	female	Anne is an experienced investigator.	Анна - досвідчена слідча.	opusmt	llm	Анна - досвідчений дослідник.	male	male
7	investigator	male	Tom is a investigator.	Том - слідчий.	opusmt	llm	Том слідчий.	male	male
8	investigator	male	Tom is a poor investigator.	Том - бідний слідчий.	opusmt	llm	Том - бідний слідчий.	male	male
9	investigator	neutral	Jessie is a good investigator.	Джессі - хороший слідчий.	opusmt	llm	Джессі - добрий слідчий.	male	male
10	investigator	neutral	Jessie is a poor investigator.	Джессі - бідний слідчий.	opusmt	llm	Джессі - бідний слідчий.	male	male
1	plumber	neutral	I used to work as a plumber.	Я працював водопровідником.	opusmt	llm	Я колись працював водопровідником.	male	male
2	plumber	neutral	I am a poor plumber.	Я бідний водопровідник.	opusmt	llm	Я бідний сантехнік.	male	male
3	plumber	neutral	I am a nice plumber.	Я хороший водопровідник.	opusmt	llm	Я добрий сантехнік.	male	male
4	plumber	neutral	The plumber called me today.	Водопровідник зателефонував мені сьогодні.	opusmt	llm	Водопровідник зателефонував мені сьогодні.	male	male
5	plumber	female	Anne is a plumber.	Анна - водопровідниця.	opusmt	llm	Анна сантехнік.	male	male
6	plumber	female	Anne is an experienced plumber.	Анна - досвідчена водопровідниця.	opusmt	llm	Анна - досвідчений водопровісник.	male	male
7	plumber	male	Tom is a plumber.	Том - водопровідник.	opusmt	llm	Том сантехнік.	male	male
8	plumber	male	Tom is a poor plumber.	Том - бідний водопровідник.	opusmt	llm	Том - бідний сантехнік.	male	male
9	plumber	neutral	Jessie is a good plumber.	Джессі - хороший водопровідник.	opusmt	llm	Джессі добрий сантехнік.	male	male
10	plumber	neutral	Jessie is a poor plumber.	Джессі - бідний водопровідник.	opusmt	llm	Джессі - бідний сантехнік.	male	male
1	counselor	neutral	I used to work as a counselor.	Я працював радник.	opusmt	llm	Я колись працював радником.	male	male
2	counselor	neutral	I am a poor counselor.	Я бідний радник.	opusmt	llm	Я бідний радник.	male	male
3	counselor	neutral	I am a nice counselor.	Я хороший радник.	opusmt	llm	Я добрий радник.	male	male
4	counselor	neutral	The counselor called me today.	Радник зателефонував мені сьогодні.	opusmt	llm	Адвокат зателефонував мені сьогодні.	male	male
5	counselor	female	Anne is a counselor.	Анна - радниця.	opusmt	llm	Анна - консультантка.	female	female
6	counselor	female	Anne is an experienced counselor.	Анна - досвідчена радниця.	opusmt	llm	Анна - досвідчений радник.	male	male
7	counselor	male	Tom is a counselor.	Том - радник.	opusmt	llm	Том радник.	male	male
8	counselor	male	Tom is a poor counselor.	Том - бідний радник.	opusmt	llm	Том - бідний радник.	male	male
9	counselor	neutral	Jessie is a good counselor.	Джессі - хороший радник.	opusmt	llm	Джессі добрий радник.	male	male
10	counselor	neutral	Jessie is a poor counselor.	Джессі - бідний радник.	opusmt	llm	Джессі - бідний радник.	male	male
1	administrator	neutral	I used to work as a administrator.	Я працював адміністратором.	opusmt	llm	Я колись працював адміністратором.	male	male
2	administrator	neutral	I am a poor administrator.	Я поганий адміністратор.	opusmt	llm	Я бідний адміністратор.	male	male
3	administrator	neutral	I am a nice administrator.	Я хороший адміністратор.	opusmt	llm	Я добрий адміністратор.	male	male
4	administrator	neutral	The administrator called me today.	Адміністратор зателефонував мені сьогодні.	opusmt	llm	Адміністратор зателефонував мені сьогодні.	male	male
5	administrator	female	Anne is a administrator.	Анна - адміністраторка.	opusmt	llm	Анна - адміністраторка.	female	female
6	administrator	female	Anne is an experienced administrator.	Анна - досвідчена адміністраторка.	opusmt	llm	Анна - досвідчений адміністратор.	male	male
7	administrator	male	Tom is a administrator.	Том - адміністратор.	opusmt	llm	Том - адміністратор.	male	male
8	administrator	male	Tom is a poor administrator.	Том - бідний адміністратор.	opusmt	llm	Том - бідний адміністратор.	male	male
9	administrator	neutral	Jessie is a good administrator.	Джессі - хороший адміністратор.	opusmt	llm	Джессі - добрий адміністратор.	male	male
10	administrator	neutral	Jessie is a poor administrator.	Джессі - бідний адміністратор.	opusmt	llm	Джессі - бідний адміністратор.	male	male
1	auditor	neutral	I used to work as a auditor.	Я працював аудитором.	opusmt	llm	Я колись працював слухачем.	male	male
2	auditor	neutral	I am a poor auditor.	Я бідний аудитор.	opusmt	llm	Я бідний слух.	male	male
3	auditor	neutral	I am a nice auditor.	Я хороший аудитор.	opusmt	llm	Я гарний аудитор.	male	male
4	auditor	neutral	The auditor called me today.	Аудитор зателефонував мені сьогодні.	opusmt	llm	Мені сьогодні дзвонить аудитор.	male	male
5	auditor	female	Anne is a auditor.	Анна - аудиторка.	opusmt	llm	Анна - аудиторка.	female	female
6	auditor	female	Anne is an experienced auditor.	Анна - досвідчена аудиторка.	opusmt	llm	Анна - досвідчена аудиторка.	female	female
7	auditor	male	Tom is a auditor.	Том - аудитор.	opusmt	llm	Том - аудитор.	male	male
8	auditor	male	Tom is a poor auditor.	Том - бідний аудитор.	opusmt	llm	Том - бідний аудитор.	male	male
9	auditor	neutral	Jessie is a good auditor.	Джессі - хороший аудитор.	opusmt	llm	Джессі - добрий аудитор.	male	male
10	auditor	neutral	Jessie is a poor auditor.	Джессі - бідний аудитор.	opusmt	llm	Джессі - бідний аудитор.	male	male
1	chef	neutral	I used to work as a chef.	Я працював шеф-кухарем.	opusmt	llm	Я колись працював шеф-кухарем.	male	male
2	chef	neutral	I am a poor chef.	Я бідний шеф-кухар.	opusmt	llm	Я бідний кухар.	male	male
3	chef	neutral	I am a nice chef.	Я хороший шеф-кухар.	opusmt	llm	Я добрий шеф-кухар.	male	male
4	chef	neutral	The chef called me today.	Шеф-кухар зателефонував мені сьогодні.	opusmt	llm	Повар телефонував мені сьогодні.	male	male
5	chef	female	Anne is a chef.	Анна - шеф-кухарка.	opusmt	llm	Анна - шеф-кухар.	male	male
6	chef	female	Anne is an experienced chef.	Анна - досвідчена шеф-кухарка.	opusmt	llm	Анна - досвідчена кухарка.	female	female
7	chef	male	Tom is a chef.	Том - шеф-кухар.	opusmt	llm	Том кухар.	male	male
8	chef	male	Tom is a poor chef.	Том - бідний шеф-кухар.	opusmt	llm	Том - бідний шеф-кухар.	male	male
9	chef	neutral	Jessie is a good chef.	Джессі - хороший шеф-кухар.	opusmt	llm	Джессі - добрий кухар.	male	male
10	chef	neutral	Jessie is a poor chef.	Джессі - бідний шеф-кухар.	opusmt	llm	Джессі - бідний кухар.	male	male
1	engineer	neutral	I used to work as a engineer.	Я працював інженером.	opusmt	llm	Я колись працював інженером.	male	male
2	engineer	neutral	I am a poor engineer.	Я бідний інженер.	opusmt	llm	Я бідний інженер.	male	male
3	engineer	neutral	I am a nice engineer.	Я хороший інженер.	opusmt	llm	Я гарний інженер.	male	male
4	engineer	neutral	The engineer called me today.	Інженер зателефонував мені сьогодні.	opusmt	llm	Інженерка зателефонувала мені сьогодні.	female	female
5	engineer	female	Anne is a engineer.	Анна - інженерка.	opusmt	llm	Анна - інженерка.	female	female
6	engineer	female	Anne is an experienced engineer.	Анна - досвідчена інженерка.	opusmt	llm	Анна - досвідчений інженер.	male	male
7	engineer	male	Tom is a engineer.	Том - інженер.	opusmt	llm	Том інженер.	male	male
8	engineer	male	Tom is a poor engineer.	Том - бідний інженер.	opusmt	llm	Том - бідний інженер.	male	male
9	engineer	neutral	Jessie is a good engineer.	Джессі - хороший інженер.	opusmt	llm	Джессі - добрий інженер.	male	male
10	engineer	neutral	Jessie is a poor engineer.	Джессі - бідний інженер.	opusmt	llm	Джессі - бідний інженер.	male	male
1	psychologist	neutral	I used to work as a psychologist.	Я працював психологом.	opusmt	llm	Я колись працювала психологом.	female	female
2	psychologist	neutral	I am a poor psychologist.	Я бідний психолог.	opusmt	llm	Я поганий психолог.	male	male
3	psychologist	neutral	I am a nice psychologist.	Я хороший психолог.	opusmt	llm	Я добрий психолог.	male	male
4	psychologist	neutral	The psychologist called me today.	Психолог зателефонував мені сьогодні.	opusmt	llm	Психолог зателефонував мені сьогодні.	male	male
5	psychologist	female	Anne is a psychologist.	Анна - психологиня.	opusmt	llm	Анна - психологиня.	female	female
6	psychologist	female	Anne is an experienced psychologist.	Анна - досвідчена психологиня.	opusmt	llm	Анна - досвідчена психологиня.	female	female
7	psychologist	male	Tom is a psychologist.	Том - психолог.	opusmt	llm	Том психолог.	male	male
8	psychologist	male	Tom is a poor psychologist.	Том - бідний психолог.	opusmt	llm	Том поганий психолог.	male	male
9	psychologist	neutral	Jessie is a good psychologist.	Джессі - хороший психолог.	opusmt	llm	Джессі - добрий психолог.	male	male
10	psychologist	neutral	Jessie is a poor psychologist.	Джессі - бідний психолог.	opusmt	llm	Джессі - поганий психолог.	male	male
1	firefighter	neutral	I used to work as a firefighter.	Я працював пожежником.	opusmt	llm	Я колись працювала пожежником.	female	male
2	firefighter	neutral	I am a poor firefighter.	Я бідний пожежник.	opusmt	llm	Я бідний пожежник.	male	male
3	firefighter	neutral	I am a nice firefighter.	Я хороший пожежник.	opusmt	llm	Я хороший пожежник.	male	male
4	firefighter	neutral	The firefighter called me today.	Пожежник зателефонував мені сьогодні.	opusmt	llm	Пожежник зателефонував мені сьогодні.	male	male
5	firefighter	female	Anne is a firefighter.	Анна - пожежниця.	opusmt	llm	Анна пожежна.	female	female
6	firefighter	female	Anne is an experienced firefighter.	Анна - досвідчена пожежниця.	opusmt	llm	Анна - досвідчений пожежниця.	female	female
7	firefighter	male	Tom is a firefighter.	Том - пожежник.	opusmt	llm	Том пожежний.	male	male
8	firefighter	male	Tom is a poor firefighter.	Том - бідний пожежник.	opusmt	llm	Том - бідний пожежник.	male	male
9	firefighter	neutral	Jessie is a good firefighter.	Джессі - хороший пожежник.	opusmt	llm	Джессі - добрий пожежник.	male	male
10	firefighter	neutral	Jessie is a poor firefighter.	Джессі - бідний пожежник.	opusmt	llm	Джессі - бідний пожежник.	male	male
1	advisor	neutral	I used to work as a advisor.	Я працював консультантом.	opusmt	llm	Я колись працював радником.	male	male
2	advisor	neutral	I am a poor advisor.	Я поганий консультант.	opusmt	llm	Я поганий радник.	male	male
3	advisor	neutral	I am a nice advisor.	Я хороший консультант.	opusmt	llm	Я хороший радник.	male	male
4	advisor	neutral	The advisor called me today.	Консультант зателефонував мені сьогодні.	opusmt	llm	Адвокат зателефонував мені сьогодні.	male	male
5	advisor	female	Anne is a advisor.	Анна - консультантка.	opusmt	llm	Анна - радниця.	female	female
6	advisor	female	Anne is an experienced advisor.	Анна - досвідчена консультантка.	opusmt	llm	Анна - досвідчений радник.	male	male
7	advisor	male	Tom is a advisor.	Том - консультант.	opusmt	llm	Том - радник.	male	male
8	advisor	male	Tom is a poor advisor.	Том - поганий консультант.	opusmt	llm	Том поганий радник.	male	male
9	advisor	neutral	Jessie is a good advisor.	Джессі - хороший консультант.	opusmt	llm	Джессі добрий радник.	male	male
10	advisor	neutral	Jessie is a poor advisor.	Джессі - поганий консультант.	opusmt	llm	Джессі поганий радник.	male	male
1	chemist	neutral	I used to work as a chemist.	Я працював хіміком.	opusmt	llm	Я колись працював хіміком.	male	male
2	chemist	neutral	I am a poor chemist.	Я бідний хімік.	opusmt	llm	Я бідний хімік.	male	male
3	chemist	neutral	I am a nice chemist.	Я хороший хімік.	opusmt	llm	Я добрий хімік.	male	male
4	chemist	neutral	The chemist called me today.	Хімік зателефонував мені сьогодні.	opusmt	llm	Хімк зателефонував мені сьогодні.	male	male
5	chemist	female	Anne is a chemist.	Анна - хімікиня.	opusmt	llm	Анна - хімік.	male	male
6	chemist	female	Anne is an experienced chemist.	Анна - досвідчена хімікиня.	opusmt	llm	Анна - досвідчений хімік.	male	male
7	chemist	male	Tom is a chemist.	Том - хімік.	opusmt	llm	Том хімік.	male	male
8	chemist	male	Tom is a poor chemist.	Том - бідний хімік.	opusmt	llm	Том - бідний хімік.	male	male
9	chemist	neutral	Jessie is a good chemist.	Джессі - хороший хімік.	opusmt	llm	Джессі - добрий хімік.	male	male
10	chemist	neutral	Jessie is a poor chemist.	Джессі - бідний хімік.	opusmt	llm	Джессі - бідний хімік.	male	male
1	practitioner	neutral	I used to work as a practitioner.	Я працював лікарем.	opusmt	llm	Я колись працював лікарем.	male	male
2	practitioner	neutral	I am a poor practitioner.	Я бідний лікар.	opusmt	llm	Я поганий практик.	male	male
3	practitioner	neutral	I am a nice practitioner.	Я хороший лікар.	opusmt	llm	Я хороший практик.	male	male
4	practitioner	neutral	The practitioner called me today.	Лікар зателефонував мені сьогодні.	opusmt	llm	Лікарка зателефонувала мені сьогодні.	female	female
5	practitioner	female	Anne is a practitioner.	Анна - лікарка.	opusmt	llm	Анна - практикантка.	female	female
6	practitioner	female	Anne is an experienced practitioner.	Анна - досвідчена лікарка.	opusmt	llm	Анна - досвідчена практикантка.	female	female
7	practitioner	male	Tom is a practitioner.	Том - лікар.	opusmt	llm	Том практик.	male	male
8	practitioner	male	Tom is a poor practitioner.	Том - бідний лікар.	opusmt	llm	Том - поганий практик.	male	male
9	practitioner	neutral	Jessie is a good practitioner.	Джессі - хороший лікар.	opusmt	llm	Джессі - добра практика.	female	female
10	practitioner	neutral	Jessie is a poor practitioner.	Джессі - бідний лікар.	opusmt	llm	Джессі - бідний практик.	male	male
1	dietitian	neutral	I used to work as a dietitian.	Я працював дієтологом.	opusmt	llm	Я колись працював дієтологом.	male	male
2	dietitian	neutral	I am a poor dietitian.	Я бідний дієтолог.	opusmt	llm	Я бідний дієтолог.	male	male
3	dietitian	neutral	I am a nice dietitian.	Я хороший дієтолог.	opusmt	llm	Я добрий дієтолог.	male	male
4	dietitian	neutral	The dietitian called me today.	Дієтолог зателефонував мені сьогодні.	opusmt	llm	До мене сьогодні дзвонив дієтолог.	male	male
5	dietitian	female	Anne is a dietitian.	Анна - дієтологиня.	opusmt	llm	Анна дієтологиня.	female	female
6	dietitian	female	Anne is an experienced dietitian.	Анна - досвідчена дієтологиня.	opusmt	llm	Анна - досвідчена дієтологиня.	female	female
7	dietitian	male	Tom is a dietitian.	Том - дієтолог.	opusmt	llm	Том дієтолог.	male	male
8	dietitian	male	Tom is a poor dietitian.	Том - бідний дієтолог.	opusmt	llm	Том поганий дієтолог.	male	male
9	dietitian	neutral	Jessie is a good dietitian.	Джессі - хороший дієтолог.	opusmt	llm	Джессі добре дієтолог.	male	male
10	dietitian	neutral	Jessie is a poor dietitian.	Джессі - бідний дієтолог.	opusmt	llm	Джессі - бідний дієтолог.	male	male
1	manager	neutral	I used to work as a manager.	Я працював менеджером.	opusmt	llm	Я колись працював менеджером.	male	male
2	manager	neutral	I am a poor manager.	Я поганий менеджер.	opusmt	llm	Я бідний менеджер.	male	male
3	manager	neutral	I am a nice manager.	Я хороший менеджер.	opusmt	llm	Я добрий менеджер.	male	male
4	manager	neutral	The manager called me today.	Менеджер зателефонував мені сьогодні.	opusmt	llm	Менеджер телефонував мені сьогодні.	male	male
5	manager	female	Anne is a manager.	Анна - менеджерка.	opusmt	llm	Анна - менеджерка.	female	female
6	manager	female	Anne is an experienced manager.	Анна - досвідчена менеджерка.	opusmt	llm	Анна - досвідчений менеджер.	male	male
7	manager	male	Tom is a manager.	Том - менеджер.	opusmt	llm	Том - менеджер.	male	male
8	manager	male	Tom is a poor manager.	Том - бідний менеджер.	opusmt	llm	Том - бідний керівник.	male	male
9	manager	neutral	Jessie is a good manager.	Джессі - хороший менеджер.	opusmt	llm	Джессі - добрий менеджер.	male	male
10	manager	neutral	Jessie is a poor manager.	Джессі - поганий менеджер.	opusmt	llm	Джессі - бідний менеджер.	male	male
1	supervisor	neutral	I used to work as a supervisor.	Я працював наглядачем.	opusmt	llm	Я колись працював начальником.	male	male
2	supervisor	neutral	I am a poor supervisor.	Я поганий наглядач.	opusmt	llm	Я бідний керівник.	male	male
3	supervisor	neutral	I am a nice supervisor.	Я хороший наглядач.	opusmt	llm	Я хороший керівник.	male	male
4	supervisor	neutral	The supervisor called me today.	Наглядач зателефонував мені сьогодні.	opusmt	llm	Наглядач зателефонував мені сьогодні.	male	male
5	supervisor	female	Anne is a supervisor.	Анна - наглядачка.	opusmt	llm	Анна - начальниця.	female	female
6	supervisor	female	Anne is an experienced supervisor.	Анна - досвідчена наглядачка.	opusmt	llm	Анна - досвідчений керівник.	male	male
7	supervisor	male	Tom is a supervisor.	Том - наглядач.	opusmt	llm	Том - керівник.	male	male
8	supervisor	male	Tom is a poor supervisor.	Том - поганий наглядач.	opusmt	llm	Том - бідний керівник.	male	male
9	supervisor	neutral	Jessie is a good supervisor.	Джессі - хороший наглядач.	opusmt	llm	Джессі добрий керівник.	male	male
10	supervisor	neutral	Jessie is a poor supervisor.	Джессі - поганий наглядач.	opusmt	llm	Джессі - бідний керівник.	male	male
1	doctor	neutral	I used to work as a doctor.	Я працював лікарем.	opusmt	llm	Я колись працював лікарем.	male	male
2	doctor	neutral	I am a poor doctor.	Я бідний лікар.	opusmt	llm	Я бідний лікар.	male	male
3	doctor	neutral	I am a nice doctor.	Я хороший лікар.	opusmt	llm	Я добрий лікар.	male	male
4	doctor	neutral	The doctor called me today.	Лікар зателефонував мені сьогодні.	opusmt	llm	Лікарка зателефонувала мені сьогодні.	female	female
5	doctor	female	Anne is a doctor.	Анна - лікарка.	opusmt	llm	Анна - лікарка.	female	female
6	doctor	female	Anne is an experienced doctor.	Анна - досвідчена лікарка.	opusmt	llm	Анна - досвідчений лікар.	male	male
7	doctor	male	Tom is a doctor.	Том - лікар.	opusmt	llm	Том - лікар.	male	male
8	doctor	male	Tom is a poor doctor.	Том - бідний лікар.	opusmt	llm	Том - бідний лікар.	male	male
9	doctor	neutral	Jessie is a good doctor.	Джессі - хороший лікар.	opusmt	llm	Джессі - добрий лікар.	male	male
10	doctor	neutral	Jessie is a poor doctor.	Джессі - бідний лікар.	opusmt	llm	Джессі - бідний лікар.	male	male
1	hairdresser	neutral	I used to work as a hairdresser.	Я працював перукарем.	opusmt	llm	Я колись працював перукарем.	male	male
2	hairdresser	neutral	I am a poor hairdresser.	Я бідний перукар.	opusmt	llm	Я поганий перукар.	male	male
3	hairdresser	neutral	I am a nice hairdresser.	Я хороший перукар.	opusmt	llm	Я гарна перукарка.	female	female
4	hairdresser	neutral	The hairdresser called me today.	Перукар зателефонував мені сьогодні.	opusmt	llm	Мені сьогодні телефонував перукар.	male	male
5	hairdresser	female	Anne is a hairdresser.	Анна - перукарка.	opusmt	llm	Анна - перукарка.	female	female
6	hairdresser	female	Anne is an experienced hairdresser.	Анна - досвідчена перукарка.	opusmt	llm	Анна - досвідчена перукарка.	female	female
7	hairdresser	male	Tom is a hairdresser.	Том - перукар.	opusmt	llm	Том перукар.	male	male
8	hairdresser	male	Tom is a poor hairdresser.	Том - бідний перукар.	opusmt	llm	Том - поганий перукар.	male	male
9	hairdresser	neutral	Jessie is a good hairdresser.	Джессі - хороший перукар.	opusmt	llm	Джессі - добрий перукар.	male	male
10	hairdresser	neutral	Jessie is a poor hairdresser.	Джессі - бідний перукар.	opusmt	llm	Джессі - поганий перукар.	male	male
1	janitor	neutral	I used to work as a janitor.	Я працював прибиральником.	opusmt	llm	Я колись працював прибиральником.	male	male
2	janitor	neutral	I am a poor janitor.	Я бідний прибиральник.	opusmt	llm	Я бідний прибиральник.	male	male
3	janitor	neutral	I am a nice janitor.	Я хороший прибиральник.	opusmt	llm	Я гарний прибиральник.	male	male
4	janitor	neutral	The janitor called me today.	Прибиральник зателефонував мені сьогодні.	opusmt	llm	До мене сьогодні дзвонила прибиральниця.	female	female
5	janitor	female	Anne is a janitor.	Анна - прибиральниця.	opusmt	llm	Анна - прибиральниця.	female	female
6	janitor	female	Anne is an experienced janitor.	Анна - досвідчена прибиральниця.	opusmt	llm	Анна - досвідчена прибиральниця.	female	female
7	janitor	male	Tom is a janitor.	Том - прибиральник.	opusmt	llm	Том прибиральник.	male	male
8	janitor	male	Tom is a poor janitor.	Том - бідний прибиральник.	opusmt	llm	Том - бідний прибиральник.	male	male
9	janitor	neutral	Jessie is a good janitor.	Джессі - хороший прибиральник.	opusmt	llm	Джессі добра прибиральниця.	female	female
10	janitor	neutral	Jessie is a poor janitor.	Джессі - бідний прибиральник.	opusmt	llm	Джессі - бідний прибиральник.	male	male
1	therapist	neutral	I used to work as a therapist.	Я працював терапевтом.	opusmt	llm	Я колись працював терапевтом.	male	male
2	therapist	neutral	I am a poor therapist.	Я бідний терапевт.	opusmt	llm	Я бідний лікар.	male	male
3	therapist	neutral	I am a nice therapist.	Я хороший терапевт.	opusmt	llm	Я хороший психотерапевт.	male	male
4	therapist	neutral	The therapist called me today.	Терапевт зателефонував мені сьогодні.	opusmt	llm	Психотерапевт зателефонував мені сьогодні.	male	male
5	therapist	female	Anne is a therapist.	Анна - терапевтка.	opusmt	llm	Анна - психотерапевтка.	female	female
6	therapist	female	Anne is an experienced therapist.	Анна - досвідчена терапевтка.	opusmt	llm	Анна - досвідчений психотерапевт.	male	male
7	therapist	male	Tom is a therapist.	Том - терапевт.	opusmt	llm	Том - терапевт.	male	male
8	therapist	male	Tom is a poor therapist.	Том - бідний терапевт.	opusmt	llm	Том - бідний терапевт.	male	male
9	therapist	neutral	Jessie is a good therapist.	Джессі - хороший терапевт.	opusmt	llm	Джессі - добрий психотерапевт.	male	male
10	therapist	neutral	Jessie is a poor therapist.	Джессі - бідний терапевт.	opusmt	llm	Джессі - бідний терапевт.	male	male
1	accountant	neutral	I used to work as a accountant.	Я працював бухгалтером.	opusmt	llm	Я колись працював бухгалтером.	male	male
2	accountant	neutral	I am a poor accountant.	Я бідний бухгалтер.	opusmt	llm	Я бідний бухгалтер.	male	male
3	accountant	neutral	I am a nice accountant.	Я хороший бухгалтер.	opusmt	llm	Я добрий бухгалтер.	male	male
